지점,지점명,위도,경도,노장해발고도(m)
495,공도,36.9613,127.1887,25.35
495,공도,36.9617,127.1834,24
496,세종금남,36.4585,127.2688,27.23
496,세종금남,36.4585,127.2688,27.23
496,세종금남,36.4585,127.2688,30.3
496,세종금남,36.4585,127.2688,30.3
496,세종금남,36.4638,127.2804,43.4
497,삽당령,37.5752,128.8515,660.4
497,삽당령,37.5752,128.8515,660.4
497,삽당령,37.5752,128.8515,660.4
497,삽당령,37.5752,128.8515,658.15
498,구룡령,37.8793,128.5145,1018.68
498,구룡령,37.8793,128.5145,1018.68
498,구룡령,37.8793,128.5145,1015.08
499,중면,38.1361,127.0235,53.7
499,중면,38.1361,127.0235,53.7
499,중면,38.1359,127.0191,54.66
499,중면,38.1331,127.0213,53.83
500,양도,37.6657,126.4702,48
500,양도,37.6657,126.4702,48
500,양도,37.6317,126.4201,29
500,양도,37.6287,126.4116,20
501,대연평,37.6589,125.6982,7.63
501,연평도,37.666,125.702,20
501,대연평,37.6589,125.6982,7.63
501,대연평,37.6644,125.7023,13
502,교동,37.7894,126.2916,13.94
502,교동,37.7894,126.2916,13.94
502,교동,37.7894,126.2916,13.94
502,교동,37.7844,126.2829,41.91
503,도라산,37.908,126.7119,18.29
503,도라산,37.908,126.7119,18.29
503,도라산,37.912,126.7116,17.3
503,도라산,37.8833,126.6833,167
503,도라산,37.8833,126.6833,10
503,도라산,37.8856,126.7394,10
503,도라산,37.8856,126.7394,10
504,포천,37.8704,127.1807,105.14
504,포천,37.8704,127.1807,105.14
504,포천,37.8704,127.1808,103
504,포천,37.8657,127.1764,102.05
504,포천,37.8915,127.202,100
504,포천,37.8946,127.1996,105
505,가평조종,37.8244,127.3454,170.45
505,가평조종,37.8244,127.3454,170.45
505,가평조종,37.8244,127.3454,170.45
505,가평조종,37.8244,127.3454,168.53
505,가평조종,37.82,127.35,152
506,파주금촌,37.7482,126.7769,12.88
506,파주금촌,37.7482,126.7769,12.88
506,파주금촌,37.7482,126.7769,12.88
506,파주금촌,37.7483,126.777,19
506,파주금촌,37.7483,126.777,19
506,파주금촌,37.7657,126.7841,56
506,파주금촌,37.7584,126.779,34
506,파주금촌,37.7584,126.779,34
506,파주금촌,37.7584,126.779,34
507,창수,38.0248,127.1436,76.06
507,창수,38.0248,127.1436,76.06
507,창수,38.025,127.1433,80
507,창수,37.9917,127.1891,84.44
507,창수,37.9788,127.2009,84
508,왕산,37.4665,126.3609,140.91
508,왕산,37.465,126.3634,132.11
508,왕산,37.57,126.97,87
509,관악,37.4528,126.9502,141.64
509,관악,37.4528,126.9502,141.64
509,관악,37.4528,126.9502,141.64
509,관악,37.45,126.9523,144.37
509,관악,37.4562,126.9507,92.36
510,영등포,37.5271,126.9071,25.38
510,영등포,37.5271,126.9071,25.38
510,영등포,37.5271,126.9071,25.38
510,영등포,37.5262,126.908,25
511,경서동,37.5675,126.6351,7.13
511,경서동,37.555,126.6905,47.04
511,경서동,37.555,126.6905,47.04
511,경서동,37.55,126.6833,49
511,경서동,37.48,126.71,18
512,인천연수,37.3968,126.6621,8.13
512,인천연수,37.3968,126.6621,8.13
512,인천연수,37.3968,126.6621,9.06
512,인천연수,37.41,126.71,22
513,백아,37.0655,126.0143,29.53
513,백아,37.2272,126.145,20.02
513,백아,37.2272,126.145,20.02
513,백아,37.2272,126.145,20.02
513,백아,37.2331,126.1468,17.6
513,백아,37.2207,126.1445,26
514,대부도,37.2377,126.5787,10
514,대부도,37.2377,126.5787,10
514,대부도,37.2377,126.5787,10
514,대부도,37.2455,126.5806,32.79
515,운평,37.0845,126.7739,10.47
515,운평,37.0819,126.8007,19
515,운평,37.0952,126.8128,30
515,운평,37.0836,126.8283,18
516,안성,37.0037,127.2502,23.92
516,안성,37.0037,127.2502,23.92
516,안성,37.0038,127.25,26
516,안성,37.013,127.2651,45.16
517,간성,38.3851,128.4752,6
517,간성,38.3854,128.4745,6.11
517,간성,38.3854,128.4745,5.31
517,간성,38.38,128.43,30
518,해안,38.2696,128.1211,468.47
518,해안,38.2696,128.1211,468.47
518,해안,38.2696,128.1211,468.47
518,해안,38.2847,128.1397,448
